trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
439,False,"{'a': 0.99, 'e': 0.012129710294652202}",25,12,22.937259944164186,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.99, 'e': 0.01200841319170568}",20,8,7.995171760431685,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
441,False,"{'a': 0.99, 'e': 0.011888329059788623}",20,9,19.62617284500694,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.99, 'e': 0.011769445769190737}",25,14,21.71571909275175,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.99, 'e': 0.01165175131149883}",20,10,15.326215140236618,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.99, 'e': 0.011535233798383842}",30,12,35.026631140512556,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.99, 'e': 0.011419881460400004}",20,6,30.12515757824908,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.99, 'e': 0.011305682645796004}",20,11,17.564918086571947,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.99, 'e': 0.011192625819338045}",25,11,22.516920756311702,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.99, 'e': 0.011080699561144665}",20,8,23.606309116612447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.99, 'e': 0.010969892565533218}",20,6,27.876407984441098,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.99, 'e': 0.010860193639877886}",20,15,6.6357935647879245,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.99, 'e': 0.010751591703479106}",20,10,19.6292128095842,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.99, 'e': 0.010644075786444315}",30,19,21.778684397805037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.99, 'e': 0.010537635028579873}",30,18,21.38508951595406,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.99, 'e': 0.010432258678294073}",20,16,10.337467596316284,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.99, 'e': 0.010327936091511133}",30,13,30.549537301469186,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.99, 'e': 0.010224656730596022}",25,14,21.8241257632537,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.99, 'e': 0.01012241016329006}",25,19,13.138852964982101,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.99, 'e': 0.01002118606165716}",20,8,23.36499836444785,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.99, 'e': 0.009920974201040588}",20,12,16.47297569168136,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,16,26.80261480471081,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,6,33.38789924591282,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,27.958018853286386,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,13,26.36865468114031,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,15.744430807545289,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,12,24.286363087321845,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,18,28.62187477052876,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,31.900798755759585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,13,24.88850159619602,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,8,32.66015020096196,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
